wbs id,task name,level,parent id,start date,end date,duration,progress,planned,owner,cost estimate,priority,weight,status,deliverable,acceptance criteria,review date
F01-05,FE 통합 테스트/버그픽스,2,F01,2026-01-29,2026-02-16,19,0,0,TBD,6600000,Medium,6.1,대기중,FE 통합 테스트/버그픽스 결과물,FE 통합 테스트/버그픽스 결과물이 요구 기준을 충족함,2026-02-17
F01-05-01,모듈 단위 테스트,3,F01-05,2026-01-29,2026-02-07,10,0,0,TBD,3300000,Medium,3.05,대기중,모듈 단위 테스트 결과물,모듈 단위 테스트 결과물이 요구 기준을 충족함,2026-02-08
F01-05-01-01,주요 UI 스냅샷 테스트,4,F01-05-01,2026-01-29,2026-02-02,5,0,0,TBD,1500000,Medium,1.39,대기중,주요 UI 스냅샷 테스트 결과물,주요 UI 스냅샷 테스트 결과물이 요구 기준을 충족함,2026-02-03
F01-05-01-02,상태관리 유닛 테스트,4,F01-05-01,2026-02-02,2026-02-07,6,0,0,TBD,1800000,Medium,1.66,대기중,상태관리 유닛 테스트 결과물,상태관리 유닛 테스트 결과물이 요구 기준을 충족함,2026-02-08
F01-05-02,E2E 테스트,3,F01-05,2026-02-07,2026-02-16,10,0,0,TBD,3300000,Medium,3.05,대기중,E2E 테스트 결과물,E2E 테스트 결과물이 요구 기준을 충족함,2026-02-17
F01-05-02-01,시나리오 테스트 스크립트 작성,4,F01-05-02,2026-02-07,2026-02-11,5,0,0,TBD,1500000,Medium,1.39,대기중,시나리오 테스트 스크립트 작성 결과물,시나리오 테스트 스크립트 작성 결과물이 요구 기준을 충족함,2026-02-12
F01-05-02-02,실단말 테스트,4,F01-05-02,2026-02-11,2026-02-16,6,0,0,TBD,1800000,Medium,1.66,대기중,실단말 테스트 결과물,실단말 테스트 결과물이 요구 기준을 충족함,2026-02-17
R01,배포/운영,1,,2026-01-11,2026-03-03,52,0,0,TBD,20100000,Medium,18.56,대기중,배포/운영 결과물,배포/운영 결과물이 요구 기준을 충족함,2026-03-04
R01-01,인프라 구성,2,R01,2026-01-11,2026-01-29,19,0,0,TBD,7200000,Medium,6.65,대기중,인프라 구성 결과물,인프라 구성 결과물이 요구 기준을 충족함,2026-01-30
R01-01-01,클라우드 환경 준비,3,R01-01,2026-01-11,2026-01-16,6,0,0,TBD,2100000,Medium,1.94,대기중,클라우드 환경 준비 결과물,클라우드 환경 준비 결과물이 요구 기준을 충족함,2026-01-17
R01-01-01-01,네트워크/VPC 설정,4,R01-01-01,2026-01-11,2026-01-13,3,0,0,TBD,900000,Medium,0.83,대기중,네트워크/VPC 설정 결과물,네트워크/VPC 설정 결과물이 요구 기준을 충족함,2026-01-14
R01-01-01-02,서버/DB 인스턴스 생성,4,R01-01-01,2026-01-13,2026-01-16,4,0,0,TBD,1200000,Medium,1.11,대기중,서버/DB 인스턴스 생성 결과물,서버/DB 인스턴스 생성 결과물이 요구 기준을 충족함,2026-01-17
R01-01-02,컨테이너/오케스트레이션,3,R01-01,2026-01-16,2026-01-24,9,0,0,TBD,3000000,Medium,2.77,대기중,컨테이너/오케스트레이션 결과물,컨테이너/오케스트레이션 결과물이 요구 기준을 충족함,2026-01-25
R01-01-02-01,도커라이징,4,R01-01-02,2026-01-16,2026-01-20,5,0,0,TBD,1500000,Medium,1.38,대기중,도커라이징 결과물,도커라이징 결과물이 요구 기준을 충족함,2026-01-21
R01-01-02-02,쿠버네티스/서비스 설정,4,R01-01-02,2026-01-20,2026-01-24,5,0,0,TBD,1500000,Medium,1.39,대기중,쿠버네티스/서비스 설정 결과물,쿠버네티스/서비스 설정 결과물이 요구 기준을 충족함,2026-01-25
R01-01-03,CI/CD 파이프라인 배포 단계,3,R01-01,2026-01-24,2026-01-29,6,0,0,TBD,2100000,Medium,1.94,대기중,CI/CD 파이프라인 배포 단계 결과물,CI/CD 파이프라인 배포 단계 결과물이 요구 기준을 충족함,2026-01-30
R01-01-03-01,스테이징 자동 배포,4,R01-01-03,2026-01-24,2026-01-26,3,0,0,TBD,900000,Medium,0.83,대기중,스테이징 자동 배포 결과물,스테이징 자동 배포 결과물이 요구 기준을 충족함,2026-01-27
R01-01-03-02,프로덕션 승인 플로우,4,R01-01-03,2026-01-26,2026-01-29,4,0,0,TBD,1200000,Medium,1.11,대기중,프로덕션 승인 플로우 결과물,프로덕션 승인 플로우 결과물이 요구 기준을 충족함,2026-01-30
R01-02,스토어 릴리스 준비,2,R01,2026-01-29,2026-02-24,27,0,0,TBD,9600000,Medium,8.86,대기중,스토어 릴리스 준비 결과물,스토어 릴리스 준비 결과물이 요구 기준을 충족함,2026-02-25
R01-02-01,iOS 프로비저닝/앱ID,3,R01-02,2026-01-29,2026-02-05,8,0,0,TBD,2700000,Medium,2.49,대기중,iOS 프로비저닝/앱ID 결과물,iOS 프로비저닝/앱ID 결과물이 요구 기준을 충족함,2026-02-06
R01-02-01-01,인앱권한/푸시 인증서,4,R01-02-01,2026-01-29,2026-02-01,4,0,0,TBD,1200000,Medium,1.11,대기중,인앱권한/푸시 인증서 결과물,인앱권한/푸시 인증서 결과물이 요구 기준을 충족함,2026-02-02
R01-02-01-02,빌드 업로드 테스트플라이트,4,R01-02-01,2026-02-01,2026-02-05,5,0,0,TBD,1500000,Medium,1.38,대기중,빌드 업로드 테스트플라이트 결과물,빌드 업로드 테스트플라이트 결과물이 요구 기준을 충족함,2026-02-06
R01-02-02,Android 서명/빌드,3,R01-02,2026-02-05,2026-02-16,12,0,0,TBD,3900000,Medium,3.6,대기중,Android 서명/빌드 결과물,Android 서명/빌드 결과물이 요구 기준을 충족함,2026-02-17
R01-02-02-01,서명키/패키지 설정,4,R01-02-02,2026-02-05,2026-02-09,5,0,0,TBD,1500000,Medium,1.38,대기중,서명키/패키지 설정 결과물,서명키/패키지 설정 결과물이 요구 기준을 충족함,2026-02-10
R01-02-02-02,플레이 스토어 업로드,4,R01-02-02,2026-02-09,2026-02-16,8,0,0,TBD,2400000,Medium,2.22,대기중,플레이 스토어 업로드 결과물,플레이 스토어 업로드 결과물이 요구 기준을 충족함,2026-02-17
R01-02-03,스토어 메타데이터/스크린샷,3,R01-02,2026-02-16,2026-02-24,9,0,0,TBD,3000000,Medium,2.77,대기중,스토어 메타데이터/스크린샷 결과물,스토어 메타데이터/스크린샷 결과물이 요구 기준을 충족함,2026-02-25
R01-02-03-01,스토어 설명/키워드,4,R01-02-03,2026-02-16,2026-02-20,5,0,0,TBD,1500000,Medium,1.38,대기중,스토어 설명/키워드 결과물,스토어 설명/키워드 결과물이 요구 기준을 충족함,2026-02-21
R01-02-03-02,스크린샷/영상 등록,4,R01-02-03,2026-02-20,2026-02-24,5,0,0,TBD,1500000,Medium,1.39,대기중,스크린샷/영상 등록 결과물,스크린샷/영상 등록 결과물이 요구 기준을 충족함,2026-02-25
R01-03,런칭/모니터링,2,R01,2026-02-24,2026-03-03,8,0,0,TBD,3300000,Medium,3.05,대기중,런칭/모니터링 결과물,런칭/모니터링 결과물이 요구 기준을 충족함,2026-03-04
R01-03-01,1차 런칭,3,R01-03,2026-02-24,2026-02-27,4,0,0,TBD,1500000,Medium,1.39,대기중,1차 런칭 결과물,1차 런칭 결과물이 요구 기준을 충족함,2026-02-28
R01-03-01-01,릴리스 노트 정리,4,R01-03-01,2026-02-24,2026-02-25,2,0,0,TBD,600000,Medium,0.56,대기중,릴리스 노트 정리 결과물,릴리스 노트 정리 결과물이 요구 기준을 충족함,2026-02-26
R01-03-01-02,롤백 플랜 확인,4,R01-03-01,2026-02-25,2026-02-27,3,0,0,TBD,900000,Medium,0.83,대기중,롤백 플랜 확인 결과물,롤백 플랜 확인 결과물이 요구 기준을 충족함,2026-02-28
R01-03-02,포스트모템/개선안 리스트업,3,R01-03,2026-02-27,2026-03-03,5,0,0,TBD,1800000,Medium,1.66,대기중,포스트모템/개선안 리스트업 결과물,포스트모템/개선안 리스트업 결과물이 요구 기준을 충족함,2026-03-04
R01-03-02-01,문제 재현/로그 분석,4,R01-03-02,2026-02-27,2026-03-01,3,0,0,TBD,900000,Medium,0.83,대기중,문제 재현/로그 분석 결과물,문제 재현/로그 분석 결과물이 요구 기준을 충족함,2026-03-02
R01-03-02-02,운영 백로그 등록,4,R01-03-02,2026-03-01,2026-03-03,3,0,0,TBD,900000,Medium,0.83,대기중,운영 백로그 등록 결과물,운영 백로그 등록 결과물이 요구 기준을 충족함,2026-03-04
